date,DIA,IVV,QQQ,SPY,VTI
2022-02-03,331.4577941894531,428.71380615234375,346.4961853027344,427.4084777832031,214.64306640625
2022-02-04,331.35400390625,430.8640441894531,350.8672180175781,429.4182434082031,216.067138671875
2022-02-07,331.38232421875,429.3349304199219,348.0446472167969,428.0401306152344,215.5223388671875
2022-02-08,334.8199157714844,432.7466735839844,351.9550170898437,431.5619812011719,217.50076293945312
2022-02-09,337.7758178710937,439.1304931640625,359.4132385253906,437.87835693359375,221.0370635986328
2022-02-10,332.9405212402344,431.37054443359375,351.2787780761719,430.01165771484375,217.29049682617188
2022-02-11,327.97314453125,422.7408752441406,340.1357116699219,421.5323486328125,213.07565307617188
2022-02-14,326.65106201171875,421.3647155761719,340.5570373535156,420.1541748046875,212.29188537597656
2022-02-15,330.740234375,428.1403503417969,349.0246887207031,426.9299621582031,216.067138671875
2022-02-16,330.220703125,428.6277770996094,348.9365234375,427.4084777832031,216.26785278320312
2022-02-17,324.5638732910156,419.6348876953125,338.5577392578125,418.2784423828125,211.3553009033203
2022-02-18,322.5010986328125,416.7392578125,334.6963806152344,415.5700988769531,209.66360473632807
2022-02-22,317.80047607421875,412.2189331054688,331.3348083496094,411.1103210449219,207.25509643554688
2022-02-23,313.5538024902344,404.7073059082031,322.8475646972656,403.8177795410156,203.441650390625
2022-02-24,314.3293762207031,411.0721130371094,333.69677734375,409.8948364257813,207.006591796875
2022-02-25,322.0850524902344,420.1222534179688,338.87139892578125,418.9388122558594,211.6133270263672
2022-02-28,320.95001220703125,419.271728515625,339.8807678222656,417.866943359375,211.38394165039065
2022-03-01,315.1049194335937,412.7732238769531,334.6767578125,411.5027160644531,208.08660888671875
2022-03-02,320.6283569335937,420.3038024902344,340.2924499511719,419.0727844238281,212.0338592529297
2022-03-03,319.8056335449219,418.2874450683594,335.43145751953125,416.9864501953125,210.4186248779297
2022-03-04,318.2355041503906,414.7131958007813,330.5704345703125,413.59857177734375,208.3159637451172
2022-03-07,310.6691589355469,402.52838134765625,318.3785400390625,401.4060363769531,201.89334106445312
2022-03-08,308.834228515625,399.527587890625,316.898681640625,398.3626708984375,200.7559814453125
2022-03-09,315.3320007324219,410.2788696289063,328.30645751953125,409.0431213378906,206.3280029296875
2022-03-10,314.11187744140625,408.3961486816406,324.6606140136719,407.196044921875,205.4009552001953
2022-03-11,312.1351318359375,403.302490234375,317.9277648925781,402.0185852050781,202.61013793945312
2022-03-14,312.182373046875,400.2538757324219,311.822021484375,399.08050537109375,200.61257934570312
2022-03-15,317.9707336425781,409.0652160644531,321.6028747558594,407.85638427734375,204.79879760742188
2022-03-16,322.86053466796875,418.12493896484375,333.5301208496094,416.9002685546875,209.921630859375
2022-03-17,326.7288818359375,423.32373046875,337.5679626464844,422.1160888671875,212.73159790039065
2022-03-18,329.1101379394531,427.8536987304688,344.47723388671875,426.7394714355469,215.21652221679688
2022-03-21,327.4511413574219,427.76763916015625,343.51959228515625,426.61468505859375,215.01577758789065
2022-03-22,330.0106201171875,432.9856262207031,350.2706298828125,431.6067199707031,217.6536865234375
2022-03-23,325.52691650390625,427.557373046875,345.2367858886719,426.0482482910156,214.68927001953125
2022-03-24,328.9868469238281,433.7428894042969,352.91021728515625,432.47064208984375,217.7476348876953
2022-03-25,330.389892578125,435.9291076660156,352.6158447265625,434.5827026367188,218.67762756347656
